Categories,ProductName,Price,Ingredients,NutritionalFacts,Illness
PowderedJuice,TangCalamansiInstantDrinkMixSachet 19-g,21,"Refined Cane Sugar, Acidity Regulator (Citric Acid), Artificial Sweeteners (Aspartame*, Acesulfame Potassium), Anti-Caking Agent (Calcium Phosphate), Stabilizer (sodium Carboxymethylcellulose), Flavor Enhancer (Sodium Chloride),  Nature-Identical and Artificial Calamansi Flavor, Vitamins and Mineral (Vitamin C, ZInc, Vitamin D),  Powdered Calamansi Extract, Titanium Dioxide as Color, Artificial Colors (Tartrazine, Sunset Yellow), Phynelketonurics: Contains Phenylalanine","Calorie(20),TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(1.04g), TCarbs(4g), DietFbr(1g),  Tsugar(3g), Protein(0g), VitC(100%), VitD(30%) Calcium(0%), Iron(30%)",Diabetes
PowderedJuice,Tang DalandanInstantDrinkMixSachet 19-g,22,"Refined Cane Sugar, Acidity Regulator (Citric Acid), Artificial Sweeteners (Aspartame*, Acesulfame Potassium), Anti-Caking Agent (Calcium Phosphate), Flavor Enhancer (Sodium Chloride),  Stabilizer (Sodium Carboxymethylcellulose),  Nature-Identical and Artificial Dalandan Flavor, Vitamins and Mineral (Vitamin C, ZInc, Vitamin D), Titaniumm Dioxide as Color, Powdered Orange  Extract and Artificial Colors (Tartrazine, Sunset Yellow), Phynelketonurics: Contains Phenylalanine","Calorie(20),TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(1.04g), TCarbs(4g), DietFbr(1g),  Tsugar(3g), Protein(0g), VitC(100%), VitD(30%) Calcium(0%), Iron(30%)",Diabetes
PowderedJuice,Tang GrapeInstantDrinkMixSachet 19-g,21,"Refined Cane Sugar, Acidity Regulator (Citric Acid), Anti-Caking Agent (Calcium Phosphate), Flavor Enhancer (Sodium Chloride), Natural and Natural-Identical Grape Flavor, Stabilizer (Sodium Carboxymethycellulose), Artificial Sweeteners (Aspartame*, Acesulfame Potassium), Vitamins and Mineral (Vitamin C, Vitamin D), Artificial Colors (Amaranth, Brilliant Blug), Powdered Grape Extract, Phynelketonurics: Contains Phenylalanine","Calorie(20),TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(1.04g), TCarbs(4g), DietFbr(1g),  Tsugar(3g), Protein(0g), VitC(100%), VitD(30%) Calcium(0%), Iron(30%)",Diabetes
PowderedJuice,TangIcedTeaApple 25-g,21,"Refined Cane Sugar, Acidity Regulator (Citric Acid), Black Tea Extract, Anti-caking Agent (Calcium Phosphate), Artificial Sweeteners (Aspartame*, Acesulfame Potassium), Vitamin C, Natural and Nature-Identical Apple Flavor and Artificial Color (Allura Red). *Phenylketonurics: Contains Phenylalanine","Calories(19), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.0001g), TCarbs(4.7g), DietFbr(0g), Tsugar(4g), Protein(0.06g), VitA(0%), VitC(33%), Calcium(0%), Iron(0%)",Diabetes
PowderedJuice,TangIcedTeaLemon 25-g,21,"Refined cane sugar, acidity regulator (E330), black tea extract. anti-caking agents (E341, E551), artificial sweeteners (E951, E950), natural and nature-identical lemon aroma, vitamin C and colors (E129. E133, E110. E102).","Calories(20), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0g), TCarbs(5g), DietFbr(0g), Tsugar(4g), Protein(0g), VitA(0%), VitC(100%), Calcium(0%), Iron(0%)",Diabetes
PowderedJuice,TangGuyabanoLiterPack 20-g,22,"Sugar, acidity regulator E330, stabilizer E466, anticaking agent E341, sweeteners (E951, E960), ascorbic acid, iron salt, niacinamide, retinyl acetate, natural and nature-identical lemon aroma, vitamin C","Calories(20), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.03g), TCarbs(5g), DietFbr(0g), Tsugar(4g), Protein(0g), VitA(0%), VitC(100%), Calcium(0%), Iron(0%)",Diabetes
PowderedJuice,TangGrapeLiterPack 20-g,21,"Sugar, maltodextrin, dehydrated grapes juice, vitamine C, vitamine D, Acid: citric acid, sweetners: aspartame, sodium cyclamate, acesulfame K, saccharine, anti caking agent: tricalcium phosphate, thickeners: guar gum and xanthan gum, colours: E129, E122, E133 and titanium dioxide, aromas, foaming agent: quillaia estract.","Calories(15), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.025g), TCarbs(2g), DietFbr(0g), Tsugar(2g), Protein(0g), VitA(0%), VitC(25%), Calcium(0%), Iron(0%)",Diabetes
PowderedJuice,TangOrangeMangoLitroPack 19-g,21,"Sugar, Fructose, Citric Acid (provides Tartness), Contains Less Than 2% Of Natural And Artificial Flavor, Ascorbic Acid (vitamin C), Maltodextrin, Calcium Phosphate, Guar And Xanthan Gums (provide Body), Sodium Acid Pyrophosphate, Artificial Color, Yellow 5, Yellow 6.","Calories(20), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.045g), TCarbs(4g), DietFbr(1g), Tsugar(3g), Protein(0g), VitA(0%), VitC(100%), Calcium(0%), Iron(0%), VitD(30%), Zinc(30%)",Diabetes
PowderedJuice,TangOrangeLitroPack 19-g,22,"Sugar, Fructose, Citric Acid (Provides Tartness), Contains Less than 2% of Natural Flavor, Ascorbic Acid (Vitamin C), Maltodextrin, Calcium Phosphate, Guar and Xanthan Gums (Provide Body), Sodium Acid Pyrophosphate, Artificial Color, Yellow 5, Yellow 6, BHA (to Help Protect Flavor).","Calories(20), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.035g), TCarbs(4g), DietFbr(1g), Tsugar(3g), Protein(0g), VitA(0%), VitC(100%), Calcium(0%), Iron(0%), VitD(30%), Zinc(30%)",Diabetes
PowderedJuice,NesteaApple 500ml,23,"Water, Sugar, Citric Acid, Sodium Citrate, Green Tea, Sweeteners(Acesulfame Potassium, Neotame)","Calories(160), TotalFat(0.5g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.0309g), TCarbs(20.2g), DietFbr(0g), Tsugar(19.8g), Caffeine(0g), Protein(0g), VitA(0%), VitB(0%), VitC(0%), Calcium(0%), Iron(0%), Zinc(0%)",Diabetes
PowderedJuice,NesteaLemon 500ml,23,"Filtered Water, Sugar/Glucose-Fructose, Citric Acid, Refined Green Tea Leaves, Potassium Citrate, Natural Flavor(Lemon)","Calories(160), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.05g), TCarbs(43g), DietFbr(0g), Tsugar(43g), Caffeine(0g), Protein(0g), Potassium(0.125g), VitA(0%), VitB(0%), VitC(0%), Calcium(0%), Iron(0%), Zinc(0%)",Diabetes
