Categories,ProductName,Price,Ingredients,NutritionFacts,,,,,,,,,,,
Junk Foods,WLFMuncherPotatoChipsChili 100-g,32,"Dried Potato Flakes, Vegetable Oil (May Consist of Coconut Oil, Palm Oil, and/or Palm Olein), Starch, Sugar, Dextrose, Salt, MSG., Garlic Powder, Onion Powder, Tomato Powder, Vinegar Powder, Chili Powder, Artificial Beef Flavor, & Aspartame","Calories(290), TotalFat(12g), SatFat(6g), TransFat(0g), Cholesterol(0mg), Sodium(210mg), Potassium(460mg), TCarbs(43g), DietFbr(5g),  Tsugar(3g), Protein(3g), VitA(2%), VitC(2%),  Calcium(2%), Iron(10%)",,,,,,,,,,,
Junk Foods,WLFMuncherPotatoChipsChz 100-g,32,"Dried Potato Flakes, Vegetable Oil (May Consist of Coconut Oil, Palm Oil, and/or Palm Olein), Starch, Cheese Powder, Milk Powder, Sugar, Salt, MSG,. Citric Acid, Silicon Dioxide, Aspartame, & Food Color (Sunset Yellow)","Calories(330), TotalFat(13g), SatFat(12g), TransFat(0g), Cholesterol(0mg), Sodium(321mg), TCarbs(40g), DietFbr(12g),  Tsugar(5g), Protein(14g), VitA(5%), VitC(24%),  Calcium(4%), Iron(17%)",,,,,,,,,,,
Junk Foods,XsaktoCornerChipsSpxyPzza 120-g,23,"Corn, Palm Oil, Pizza Flavor, (Sugar, Iodized Salt, MSG,. Milk Powder, Yeast Extract, Modified Starch, black Pepper Chili Powder, FD&C Yellow #5 Sunset yellow #6","Calories(170), TotalFat(10g), SatFat(4.5g), TransFat(0g), Cholesterol(0mg), Sodium(135mg), TCarbs(17g), DietFbr(4g),  Tsugar(2g), Protein(2g), VitA(3%), VitC(2%),  Calcium(3%), Iron(3%)",,,,,,,,,,,
Junk Foods,WLFTwisterNachoChzCurls 85-g,19,"Corn, Coconut Oil, Sugar, Iodized Salt, Maltodextrin, Milk Powders, Cheese Solids & Flavors, Food Acid, MSG,. Spices, Chili Powder & Food Color (Yellow #5 & Sunset Yellow #6)","Calories(180), TotalFat(12g), SatFat(10g), TransFat(0g), Cholesterol(0mg), Sodium(310mg), TCarbs(14g), DietFbr(1g),  Tsugar(2g), Protein(2g), VitA(33%), VitC(0%),  Calcium(0%), Iron(33%)",,,,,,,,,,,
Junk Foods,WLFMuncherGreenChz 100-g,24,"Green Peas, Modified Starch, What Flour, Coconut Oil Sugar, Iodized Salt, MSG,. Beef Flavor, Chili Powder, & Food Color (FD&C Yellow #5 & Brilliant Blue #1)","Calories(330), TotalFat(13g), SatFat(12g), TransFat(0g), Cholesterol(0mg), Sodium(329mg), TCarbs(40g), DietFbr(12g),  Tsugar(5g), Protein(14g), VitA(5%), VitC(24%),  Calcium(4%), Iron(17%)",,,,,,,,,,,
Junk Foods,Q-tTigerPrawnCraker 60-g,17,"Wheat Flour, Cassava Starch, Vegerable Oil, Coconut Oil, Palm Oil & Palm Kernel Oil, Modified Starch, Shrimp Powder, Sugar, Modified Salt, MSG,. Chili Powder Leavening Agent, Isodium Bicarbonate(E500/& Food Color (Sunset Yellow #6 E110)","Calories(150), TotalFat(6g), SatFat(3g), TransFat(0g), Cholesterol(0mg), Sodium(340mg), TCarbs(21g), DietFbr(0.5g),  Tsugar(3g), Protein(2g), VitA(1%), VitC(0%),  Calcium(17%), Iron(18%)",,,,,,,,,,,
Junk Foods,Q-tTigerShrimpCraker  60-g,17,"Wheat Flour, Tapioca Starch, Vegetable Oil, Corn Starch, Sugar, Iodized Salt, MSG,. Shrimp Powder, Garlic Powder, Chili Powder, & Balck Pepper","Calories(300), TotalFat(12g), SatFat(6g), TransFat(0g), Cholesterol(0mg), Sodium(700mg), Potassium(460mg), TCarbs(42g), DietFbr(0g),  Tsugar(6g), Protein(4g), VitA(4%), VitC(0%),  Calcium(34%), Iron(36%)",,,,,,,,,,,
Junk Foods,WLFMuncherGreenPeasUSNo.1 70-g,17,"U.S. Green Peas, Yellow Corn, Rice, Modified Starch, Coconut Oil Srtificial Food Color, (Green) & Cheese Flavor (Cheese, Sugar Iodized Salt, MSG,. Skim Milk, Whey Powder $ FD&C Artificial Food Color Yellow #5 w/Tartrazine","Calories(330), TotalFat(13g), SatFat(12g), TransFat(0g), Cholesterol(0mg), Sodium(329mg), Potassium(0mg), TCarbs(40g), DietFbr(12g),  Tsugar(5g), Protein(14g), VitA(5%), VitC(24%),  Calcium(4%), Iron(17%)",,,,,,,,,,,
Junk Foods,WLFMuncherGreenPeasUSNo.1 100-g,24,"U.S. Green Peas, Yellow Corn, Rice, Modified Starch, Coconut Oil Srtificial Food Color, (Green) & Cheese Flavor (Cheese, Sugar Iodized Salt, MSG,. Skim Milk, Whey Powder $ FD&C Artificial Food Color Yellow #5 w/Tartrazine","Calories(330), TotalFat(13g), SatFat(12g), TransFat(0g), Cholesterol(0mg), Sodium(329mg), Potassium(0mg), TCarbs(40g), DietFbr(12g),  Tsugar(5g), Protein(14g), VitA(5%), VitC(24%),  Calcium(4%), Iron(17%)",,,,,,,,,,,
Junk Foods,WLFMuncherGreenPeasUSNo.1 200-g,44,"U.S. Green Peas, Yellow Corn, Rice, Modified Starch, Coconut Oil Srtificial Food Color, (Green) & Cheese Flavor (Cheese, Sugar Iodized Salt, MSG,. Skim Milk, Whey Powder $ FD&C Artificial Food Color Yellow #5 w/Tartrazine","Calories(330), TotalFat(13g), SatFat(12g), TransFat(0g), Cholesterol(0mg), Sodium(329mg), Potassium(0mg), TCarbs(40g), DietFbr(12g),  Tsugar(5g), Protein(14g), VitA(5%), VitC(24%),  Calcium(4%), Iron(17%)",,,,,,,,,,,
Junk Foods,WLFCheezZumCheedarPurifiedSnack 60-g,17,"Corn, Rice, Partially Hydrogenated Vegetable Oil (May contain One or More of the Folowing : Palm Oil, Palm Kernel Oil & Coconut Oil), Sugar, Cheese Powder (Whey Powder, Buttermilk & Cheese Flavor), Iodized Salt, Modified Starch, Monosodium Glutamate, Food Color (Yellow #6 & Tartrazine Yellow #5)","Calories(180), TotalFat(12g), SatFat(10g), TransFat(0g), Cholesterol(0mg), Sodium(310mg), TCarbs(14g), DietFbr(1g),  Tsugar(2g), Protein(2g), VitA(33%), VitC(0%),  Calcium(0%), Iron(33%)",,,,,,,,,,,
Junk Foods,WLFCheezZumCheedarPurifiedSnack 88-g,26,"Corn, Rice, Partially Hydrogenated Vegetable Oil (May contain One or More of the Folowing : Palm Oil, Palm Kernel Oil & Coconut Oil), Sugar, Cheese Powder (Whey Powder, Buttermilk & Cheese Flavor), Iodized Salt, Modified Starch, Monosodium Glutamate, Food Color (Yellow #6 & Tartrazine Yellow #5)","Calories(180), TotalFat(12g), SatFat(10g), TransFat(0g), Cholesterol(0mg), Sodium(310mg), TCarbs(14g), DietFbr(1g),  Tsugar(2g), Protein(2g), VitA(33%), VitC(0%),  Calcium(0%), Iron(33%)",,,,,,,,,,,
